==10596== NVPROF is profiling process 10596, command: .\DyckNew_Parallel_GPU.exe
==10596== Profiling application: .\DyckNew_Parallel_GPU.exe
==10596== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,ms,,us,us,us,
"GPU activities",36.703332,71.669052,420,170.640000,110.018000,365.543000,"bitonic_sort_step(int, long*, int, int)"
"GPU activities",30.084468,58.744675,196,299.717000,89.441000,361.574000,"[CUDA memcpy DtoD]"
"GPU activities",9.246728,18.055696,44,410.356000,282.725000,521.513000,"findDepthAndCountStep(int, char*, long*, int, long*)"
"GPU activities",8.392543,16.387766,40,409.694000,364.358000,519.593000,"scanStep(int, long*, int, long*)"
"GPU activities",7.677656,14.991836,40,374.795000,363.366000,403.879000,"allocateStep(int, long*, int, long*)"
"GPU activities",5.884082,11.489600,42,273.561000,145.635000,310.085000,"propagateParentsAndCountChildrenStep(int, long*, int, long*)"
"GPU activities",0.393513,0.768396,2,384.198000,378.950000,389.446000,"reduce(int, int, char*, long*, long*)"
"GPU activities",0.334631,0.653419,2,326.709000,317.989000,335.430000,"generateRes(int, long*, long*)"
"GPU activities",0.333418,0.651051,4,162.762000,162.243000,163.938000,"[CUDA memcpy HtoD]"
"GPU activities",0.286941,0.560297,2,280.148000,271.876000,288.421000,"inv(long, long*, long*)"
"GPU activities",0.266997,0.521353,2,260.676000,256.645000,264.708000,"childsNumber(int, long*, long*)"
"GPU activities",0.227746,0.444711,2,222.355000,216.067000,228.644000,"findParents(int, long*, long*)"
"GPU activities",0.167946,0.327941,4,81.985000,41.473000,122.594000,"[CUDA memset]"
"API calls",29.979065,159.871400,596,268.240000,144.500000,600.600000,"cudaDeviceSynchronize"
"API calls",26.387235,140.717000,56,2512.803000,735.300000,33905.300000,"cudaMallocManaged"
"API calls",25.830507,137.748100,1,137748.100000,137748.100000,137748.100000,"cudaProfilerStart"
"API calls",13.302998,70.941800,200,354.709000,138.600000,719.600000,"cudaMemcpy"
"API calls",3.206121,17.097500,26,657.596000,332.700000,988.700000,"cudaFree"
"API calls",0.940093,5.013300,596,8.411000,6.600000,73.500000,"cudaLaunchKernel"
"API calls",0.175837,0.937700,2,468.850000,292.400000,645.300000,"cudaMalloc"
"API calls",0.104936,0.559600,4,139.900000,96.800000,181.400000,"cudaMemset"
"API calls",0.063776,0.340100,97,3.506000,0.100000,212.000000,"cuDeviceGetAttribute"
"API calls",0.006938,0.037000,1,37.000000,37.000000,37.000000,"cuDeviceTotalMem"
"API calls",0.001725,0.009200,1,9.200000,9.200000,9.200000,"cuDeviceGetPCIBusId"
"API calls",0.000281,0.001500,3,0.500000,0.200000,0.900000,"cuDeviceGetCount"
"API calls",0.000225,0.001200,2,0.600000,0.100000,1.100000,"cuDeviceGet"
"API calls",0.000150,0.000800,1,0.800000,0.800000,0.800000,"cuDeviceGetName"
"API calls",0.000056,0.000300,1,0.300000,0.300000,0.300000,"cuDeviceGetUuid"
"API calls",0.000056,0.000300,1,0.300000,0.300000,0.300000,"cuDeviceGetLuid"

==10596== Unified Memory profiling result:
"Device","Count","Avg Size","Min Size","Max Size","Total Size","Total Time",""
"GeForce GTX 1050 (0)",2,4.000000KB,4.000000KB,4.000000KB,8.000000KB,0.000000,"Host To Device"
"GeForce GTX 1050 (0)",10,32.000000KB,32.000000KB,32.000000KB,320.000000KB,0.000000,"Device To Host"
