==2744== NVPROF is profiling process 2744, command: .\DyckNew_Parallel_GPU.exe
==2744== Profiling application: .\DyckNew_Parallel_GPU.exe
==2744== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,ms,,us,us,us,
"GPU activities",36.195524,16.124375,342,47.147000,23.745000,96.866000,"bitonic_sort_step(int, long*, int, int)"
"GPU activities",30.510602,13.591857,180,75.510000,22.496000,91.778000,"[CUDA memcpy DtoD]"
"GPU activities",9.134764,4.069353,40,101.733000,74.689000,130.531000,"findDepthAndCountStep(int, char*, long*, int, long*)"
"GPU activities",8.193449,3.650016,36,101.389000,92.770000,128.866000,"scanStep(int, long*, int, long*)"
"GPU activities",7.631780,3.399804,36,94.439000,92.226000,102.049000,"allocateStep(int, long*, int, long*)"
"GPU activities",6.018466,2.681105,38,70.555000,38.689000,80.225000,"propagateParentsAndCountChildrenStep(int, long*, int, long*)"
"GPU activities",0.464331,0.206850,2,103.425000,101.921000,104.929000,"reduce(int, int, char*, long*, long*)"
"GPU activities",0.382731,0.170499,2,85.249000,84.898000,85.601000,"generateRes(int, long*, long*)"
"GPU activities",0.364699,0.162466,4,40.616000,40.321000,40.801000,"[CUDA memcpy HtoD]"
"GPU activities",0.330219,0.147106,2,73.553000,73.473000,73.633000,"inv(long, long*, long*)"
"GPU activities",0.311545,0.138787,2,69.393000,69.185000,69.602000,"childsNumber(int, long*, long*)"
"GPU activities",0.270742,0.120610,2,60.305000,60.033000,60.577000,"findParents(int, long*, long*)"
"GPU activities",0.191149,0.085153,4,21.288000,11.104000,31.552000,"[CUDA memset]"
"API calls",45.493175,137.136400,1,137136.400000,137136.400000,137136.400000,"cudaProfilerStart"
"API calls",24.768058,74.661800,56,1333.246000,38.300000,32366.300000,"cudaMallocManaged"
"API calls",16.830661,50.735000,502,101.065000,60.900000,255.800000,"cudaDeviceSynchronize"
"API calls",7.395273,22.292600,184,121.155000,63.800000,204.300000,"cudaMemcpy"
"API calls",3.658060,11.027000,26,424.115000,155.000000,1184.000000,"cudaFree"
"API calls",1.422852,4.289100,502,8.544000,6.600000,89.300000,"cudaLaunchKernel"
"API calls",0.170712,0.514600,4,128.650000,71.500000,285.200000,"cudaMemset"
"API calls",0.130373,0.393000,2,196.500000,110.000000,283.000000,"cudaMalloc"
"API calls",0.115909,0.349400,97,3.602000,0.100000,221.400000,"cuDeviceGetAttribute"
"API calls",0.010715,0.032300,1,32.300000,32.300000,32.300000,"cuDeviceTotalMem"
"API calls",0.003019,0.009100,1,9.100000,9.100000,9.100000,"cuDeviceGetPCIBusId"
"API calls",0.000431,0.001300,2,0.650000,0.100000,1.200000,"cuDeviceGet"
"API calls",0.000332,0.001000,3,0.333000,0.200000,0.600000,"cuDeviceGetCount"
"API calls",0.000232,0.000700,1,0.700000,0.700000,0.700000,"cuDeviceGetName"
"API calls",0.000100,0.000300,1,0.300000,0.300000,0.300000,"cuDeviceGetUuid"
"API calls",0.000100,0.000300,1,0.300000,0.300000,0.300000,"cuDeviceGetLuid"

==2744== Unified Memory profiling result:
"Device","Count","Avg Size","Min Size","Max Size","Total Size","Total Time",""
"GeForce GTX 1050 (0)",2,4.000000KB,4.000000KB,4.000000KB,8.000000KB,0.000000,"Host To Device"
"GeForce GTX 1050 (0)",10,32.000000KB,32.000000KB,32.000000KB,320.000000KB,0.000000,"Device To Host"
