==15080== NVPROF is profiling process 15080, command: .\DyckNew_Parallel_GPU.exe
==15080== Profiling application: .\DyckNew_Parallel_GPU.exe
==15080== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,ms,,us,us,us,
"GPU activities",33.612095,3.313966,164,20.207000,5.600000,24.480000,"[CUDA memcpy DtoD]"
"GPU activities",31.403887,3.096249,272,11.383000,5.984000,23.840000,"bitonic_sort_step(int, long*, int, int)"
"GPU activities",9.450420,0.931759,36,25.882000,20.064000,32.128000,"findDepthAndCountStep(int, char*, long*, int, long*)"
"GPU activities",8.386507,0.826863,32,25.839000,24.224000,31.585000,"scanStep(int, long*, int, long*)"
"GPU activities",7.946695,0.783500,32,24.484000,24.096000,26.048000,"allocateStep(int, long*, int, long*)"
"GPU activities",6.352335,0.626305,34,18.420000,10.560000,21.664000,"propagateParentsAndCountChildrenStep(int, long*, int, long*)"
"GPU activities",0.560194,0.055232,2,27.616000,27.584000,27.648000,"reduce(int, int, char*, long*, long*)"
"GPU activities",0.475493,0.046881,2,23.440000,23.361000,23.520000,"generateRes(int, long*, long*)"
"GPU activities",0.449843,0.044352,4,11.088000,11.008000,11.264000,"[CUDA memcpy HtoD]"
"GPU activities",0.401808,0.039616,2,19.808000,19.456000,20.160000,"inv(long, long*, long*)"
"GPU activities",0.377141,0.037184,2,18.592000,18.560000,18.624000,"childsNumber(int, long*, long*)"
"GPU activities",0.341449,0.033665,2,16.832000,16.768000,16.897000,"findParents(int, long*, long*)"
"GPU activities",0.242133,0.023873,4,5.968000,3.456000,8.545000,"[CUDA memset]"
"API calls",62.159339,138.556400,1,138556.400000,138556.400000,138556.400000,"cudaProfilerStart"
"API calls",19.343245,43.117100,56,769.948000,19.500000,32743.300000,"cudaMallocManaged"
"API calls",10.291056,22.939300,416,55.142000,42.500000,144.600000,"cudaDeviceSynchronize"
"API calls",5.127516,11.429500,168,68.032000,42.300000,126.200000,"cudaMemcpy"
"API calls",1.546038,3.446200,416,8.284000,6.600000,67.100000,"cudaLaunchKernel"
"API calls",1.099840,2.451600,26,94.292000,24.600000,267.700000,"cudaFree"
"API calls",0.168682,0.376000,2,188.000000,79.600000,296.400000,"cudaMalloc"
"API calls",0.146206,0.325900,97,3.359000,0.100000,202.800000,"cuDeviceGetAttribute"
"API calls",0.098966,0.220600,4,55.150000,44.600000,69.900000,"cudaMemset"
"API calls",0.010543,0.023500,1,23.500000,23.500000,23.500000,"cuDeviceTotalMem"
"API calls",0.006729,0.015000,1,15.000000,15.000000,15.000000,"cuDeviceGetPCIBusId"
"API calls",0.000718,0.001600,2,0.800000,0.300000,1.300000,"cuDeviceGet"
"API calls",0.000673,0.001500,3,0.500000,0.100000,0.700000,"cuDeviceGetCount"
"API calls",0.000269,0.000600,1,0.600000,0.600000,0.600000,"cuDeviceGetName"
"API calls",0.000090,0.000200,1,0.200000,0.200000,0.200000,"cuDeviceGetUuid"
"API calls",0.000090,0.000200,1,0.200000,0.200000,0.200000,"cuDeviceGetLuid"

==15080== Unified Memory profiling result:
"Device","Count","Avg Size","Min Size","Max Size","Total Size","Total Time",""
"GeForce GTX 1050 (0)",2,4.000000KB,4.000000KB,4.000000KB,8.000000KB,0.000000,"Host To Device"
"GeForce GTX 1050 (0)",10,26.399414KB,4.000000KB,32.000000KB,264.000000KB,0.000000,"Device To Host"
