==16584== NVPROF is profiling process 16584, command: .\DyckNew_Parallel_GPU.exe
==16584== Profiling application: .\DyckNew_Parallel_GPU.exe
==16584== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,ms,,us,us,us,
"GPU activities",36.589978,34.167162,380,89.913000,49.857000,193.059000,"bitonic_sort_step(int, long*, int, int)"
"GPU activities",30.224320,28.223008,188,150.122000,44.545000,181.763000,"[CUDA memcpy DtoD]"
"GPU activities",9.241514,8.629585,42,205.466000,147.235000,261.668000,"findDepthAndCountStep(int, char*, long*, int, long*)"
"GPU activities",8.238924,7.693381,38,202.457000,182.083000,258.949000,"scanStep(int, long*, int, long*)"
"GPU activities",7.586940,7.084569,38,186.436000,181.315000,201.603000,"allocateStep(int, long*, int, long*)"
"GPU activities",5.958443,5.563903,40,139.097000,75.329000,157.155000,"propagateParentsAndCountChildrenStep(int, long*, int, long*)"
"GPU activities",0.423163,0.395143,2,197.571000,196.131000,199.012000,"reduce(int, int, char*, long*, long*)"
"GPU activities",0.360758,0.336870,2,168.435000,168.163000,168.707000,"generateRes(int, long*, long*)"
"GPU activities",0.351434,0.328164,4,82.041000,80.641000,85.441000,"[CUDA memcpy HtoD]"
"GPU activities",0.310826,0.290245,2,145.122000,145.026000,145.219000,"inv(long, long*, long*)"
"GPU activities",0.285569,0.266660,2,133.330000,133.314000,133.346000,"childsNumber(int, long*, long*)"
"GPU activities",0.250340,0.233764,2,116.882000,116.418000,117.346000,"findParents(int, long*, long*)"
"GPU activities",0.177790,0.166018,4,41.504000,21.216000,61.921000,"[CUDA memset]"
"API calls",36.542968,138.884000,1,138884.000000,138884.000000,138884.000000,"cudaProfilerStart"
"API calls",26.018302,98.884300,56,1765.791000,402.400000,32735.100000,"cudaMallocManaged"
"API calls",22.644227,86.060900,548,157.045000,85.600000,410.800000,"cudaDeviceSynchronize"
"API calls",10.038134,38.150600,192,198.701000,91.200000,367.000000,"cudaMemcpy"
"API calls",3.239885,12.313400,26,473.592000,263.800000,997.700000,"cudaFree"
"API calls",1.215555,4.619800,548,8.430000,6.600000,69.700000,"cudaLaunchKernel"
"API calls",0.102748,0.390500,4,97.625000,78.700000,113.600000,"cudaMemset"
"API calls",0.096065,0.365100,2,182.550000,76.300000,288.800000,"cudaMalloc"
"API calls",0.089513,0.340200,97,3.507000,0.100000,212.000000,"cuDeviceGetAttribute"
"API calls",0.008762,0.033300,1,33.300000,33.300000,33.300000,"cuDeviceTotalMem"
"API calls",0.002894,0.011000,1,11.000000,11.000000,11.000000,"cuDeviceGetPCIBusId"
"API calls",0.000316,0.001200,3,0.400000,0.100000,0.800000,"cuDeviceGetCount"
"API calls",0.000289,0.001100,2,0.550000,0.100000,1.000000,"cuDeviceGet"
"API calls",0.000210,0.000800,1,0.800000,0.800000,0.800000,"cuDeviceGetName"
"API calls",0.000079,0.000300,1,0.300000,0.300000,0.300000,"cuDeviceGetLuid"
"API calls",0.000053,0.000200,1,0.200000,0.200000,0.200000,"cuDeviceGetUuid"

==16584== Unified Memory profiling result:
"Device","Count","Avg Size","Min Size","Max Size","Total Size","Total Time",""
"GeForce GTX 1050 (0)",2,4.000000KB,4.000000KB,4.000000KB,8.000000KB,0.000000,"Host To Device"
"GeForce GTX 1050 (0)",10,32.000000KB,32.000000KB,32.000000KB,320.000000KB,0.000000,"Device To Host"
